sit_id,sit_name,name,timeSeriesName,since,until,averageValue,unit,confidence,totalSample,healthAdvice,healthAdviceColor,healthCode
77062cb7-3e3b-4984-b6d0-03dda76177f2,Box Hill,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,4.9,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
77062cb7-3e3b-4984-b6d0-03dda76177f2,Box Hill,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,10.69,&micro;g/m&sup3;,107.64,310,Fair,#EEC900,1030
c69ed768-34d2-4d72-86f3-088c250758a8,Alphington,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,1.81,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
c69ed768-34d2-4d72-86f3-088c250758a8,Alphington,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,12.82,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
ee780b50-0240-4c7e-99f8-0df759caf3a3,Churchill,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,3.76,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
ee780b50-0240-4c7e-99f8-0df759caf3a3,Churchill,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,5.32,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
70584bae-a7e7-4ae9-adf5-1e8e92b15386,Traralgon,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,8.36,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
70584bae-a7e7-4ae9-adf5-1e8e92b15386,Traralgon,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,7.31,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
69088979-01eb-4b48-9535-22b6d69421ec,Dandenong,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,6.59,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
69088979-01eb-4b48-9535-22b6d69421ec,Dandenong,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.89,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
f5c385fd-c136-4398-99b0-35696b711b7b,Moe,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,2.05,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
f5c385fd-c136-4398-99b0-35696b711b7b,Moe,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,5.91,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
032edf91-3cb9-42be-8ff3-70d3f56dba68,Morwell East,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,1.99,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
