 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3047.0,Northern Schools Early Years Cluster Inc.,DALLAS,Northern Schools Early Years Cluster .,486,144.94,-37.668
3047.0,Dallas Brooks Community Primary School Council,DALLAS,Dallas Brooks Community Primary School Council,487,144.94,-37.668
3047.0,Sirius College,DALLAS,Sirius College,488,144.94,-37.668
3030.0,South West Training Services Pty Ltd,WERRIBEE,South West Training Services  ,492,144.664,-37.9
3030.0,Cambridge Primary School,WERRIBEE,Cambridge Primary School,493,144.664,-37.9
3030.0,The Westbourne Education Services Ltd,WERRIBEE,The Westbourne Education Services ,494,144.664,-37.9
3030.0,Wyndham City Council,WERRIBEE,Wyndham City Council,495,144.664,-37.9
3128.0,Box Hill South Preschool Inc,BOX HILL SOUTH,ROTARY COURT ,525,145.124,-37.836
3084.0,Arthurton Investments Pty Ltd as Trustee for the Arthurton Investments Trust,EAGLEMONT,Arthurton Investments   as Trustee for the Arthurton Investments Trust,530,145.066,-37.763
3055.0,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,MOONEE VALE,KELLY CLUB AUSTRALIA   ATF KELLY CLUB AUSTRALIA UNIT TRUST,531,144.9419122,-37.761
3055.0,S & S Coleman Pty Ltd atf S and S Family Trust,MOONEE VALE,S & S Coleman   atf S and S Family Trust,532,144.9419122,-37.761
3201.0,Robert I Fernandez Pty Ltd ATF The Moira B Fernandez Family Trust,CARRUM DOWNS,Robert I Fernandez   ATF The Moira B Fernandez Family Trust,614,145.1706992,-38.0975353
3201.0,Kids Paradise Childcare Pty Ltd  ATF The Kids Paradise Child Care Trust,CARRUM DOWNS,2 - 6 FULMAR ST ,615,145.1706992,-38.0975353
3201.0,Rowellyn Park Primary School Council,CARRUM DOWNS,Rowellyn Park Primary School Council,616,145.1706992,-38.0975353
3204.0,Ormond Primary School Out of School Hours Care,BENTLEIGH,Ormond Primary School Out of School Hours Care,804,145.036,-37.922
3165.0,Beis Menachem Community Centre Inc,BENTLEIGH EAST,13 - 17 CECIL ST ,805,145.0658766,-37.9174873
3195.0,Chainbridge Pty Ltd as Trustee for The Chainbridge Unit Trust,MORDIALLOC,5 HALLMARK ROAD ,809,145.092,-37.999
3013.0,Wembley Primary School,YARRAVILLE,32 ST LEONARDS AVE ,810,144.8813738,-37.819811
3013.0,Yarraville West Primary School,YARRAVILLE,14 - 30 POWELL STREET ,811,144.8813738,-37.819811
3042.0,Kazzico Pty Ltd,NIDDRIE,Kazzico  ,823,144.886,-37.745
3206.0,Childrens Garden Kindercare Pty Ltd,ALBERT PARK,Childrens Garden Kindercare  ,829,144.95,-37.842
3068.0,Merri Creek Primary School,FITZROY NORTH,MILLER STREET ,992,144.986,-37.784
3023.0,Deer Park Children's Community Centre Inc,DEER PARK,3 HUME STREET ,1036,144.767,-37.763
3084.0,View Bank Preschool Association Inc,VIEWBANK,CNR LYON RD & DUFF PDE ,1042,145.1,-37.731
