state_code_2021, pop_density_2021_people_per_km2, area_km2, lga_code_2021, state_name_2021, lga_name_2021, primaryindex
2,2993.26196289062,31.2257995605469,"24330","Victoria","Maribyrnong",171
2,1913.11804199219,61.4096984863281,"24410","Victoria","Maroondah",172
2,4524.14697265625,37.5452003479004,"24600","Victoria","Melbourne",173
2,339.515289306641,527.537414550781,"24650","Victoria","Melton",174
2,2.50139999389648,22081.919921875,"24780","Victoria","Mildura",175
2,17.1958999633789,2862.08374023438,"24850","Victoria","Mitchell",176
2,7.41510009765625,4045.92016601562,"24900","Victoria","Moira",177
2,2429.71215820312,81.4829025268555,"24970","Victoria","Monash",178
2,2999.16088867188,43.1384010314941,"25060","Victoria","Moonee Valley",179
2,17.4234008789062,2110.55029296875,"25150","Victoria","Moorabool",180
2,3625.103515625,50.9522018432617,"25250","Victoria","Moreland",181
2,233.241500854492,723.992004394531,"25340","Victoria","Mornington Peninsula",182
2,13.2033004760742,1529.61828613281,"25430","Victoria","Mount Alexander",183
2,3.14159989356995,5481.68603515625,"25490","Victoria","Moyne",184
2,3.8371000289917,3879.75048828125,"25620","Victoria","Murrindindi",185
2,149.556793212891,432.337310791016,"25710","Victoria","Nillumbik",186
2,1.98629999160767,5729.87646484375,"25810","Victoria","Northern Grampians",187
2,5437.63720703125,20.6140995025635,"25900","Victoria","Port Phillip",188
2,2.21919989585876,3434.56860351562,"25990","Victoria","Pyrenees",189
2,354.432098388672,8.61660003662109,"26080","Victoria","Queenscliffe",190
2,9.23910045623779,3296.33081054688,"26170","Victoria","South Gippsland",191
2,2.41160011291504,6654.0185546875,"26260","Victoria","Southern Grampians",192
2,4457.52587890625,25.6509990692139,"26350","Victoria","Stonnington",193
2,3.38059997558594,3303.2568359375,"26430","Victoria","Strathbogie",194
2,23.3607997894287,1552.94396972656,"26490","Victoria","Surf Coast",195
2,3.29640007019043,6115.537109375,"26610","Victoria","Swan Hill",196
2,0.909799993038177,6675.17236328125,"26670","Victoria","Towong",197
2,8.05980014801025,3645.10961914062,"26700","Victoria","Wangaratta",198
2,294.397491455078,120.948699951172,"26730","Victoria","Warrnambool",199
2,4.16849994659424,10817.4228515625,"26810","Victoria","Wellington",200
2,0.411700010299683,9108.6796875,"26890","Victoria","West Wimmera",201
2,2737.55029296875,64.2800979614258,"26980","Victoria","Whitehorse",202
2,485.879089355469,489.693786621094,"27070","Victoria","Whittlesea",203
2,99.736198425293,433.002105712891,"27170","Victoria","Wodonga",204
2,534.1708984375,542.094299316406,"27260","Victoria","Wyndham",205
2,5097.814453125,19.5421009063721,"27350","Victoria","Yarra",206
2,64.3507995605469,2468.205078125,"27450","Victoria","Yarra Ranges",207
2,0.880599975585938,7325.796875,"27630","Victoria","Yarriambiack",208
2,3.21339988708496,283.190307617188,"29399","Victoria","Unincorporated Vic",209
4,4.55569982528687,1897.82348632812,"42250","South Australia","Grant",309
4,1.51730000972748,7763.87158203125,"43790","South Australia","Loxton Waikerie",317
4,1.8811000585556,4519.71484375,"45090","South Australia","Naracoorte Lucindale",326
4,1.04219996929169,6527.234375,"47630","South Australia","Tatiara",344
4,10.8125,916.442016601562,"46670","South Australia","Renmark Paringa",338
4,0.361999988555908,5702.20263671875,"47290","South Australia","Southern Mallee",342
4,3.08340001106262,3926.21020507812,"48340","South Australia","Wattle Range",352
4,0.00549999997019768,619426.0625,"49399","South Australia","Unincorporated SA",358
8,183.030807495117,2358.13305664062,"89399","Australian Capital Territory","Unincorporated ACT",546
