sit_id,sit_name,name,timeSeriesName,since,until,averageValue,unit,confidence,totalSample,healthAdvice,healthAdviceColor,healthCode
77062cb7-3e3b-4984-b6d0-03dda76177f2,Box Hill,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,30.25,&micro;g/m&sup3;,108.33,13,Fair,#EEC900,1022
77062cb7-3e3b-4984-b6d0-03dda76177f2,Box Hill,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,21.83,&micro;g/m&sup3;,107.64,310,Fair,#EEC900,1030
c69ed768-34d2-4d72-86f3-088c250758a8,Alphington,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,27.08,&micro;g/m&sup3;,108.33,13,Fair,#EEC900,1022
c69ed768-34d2-4d72-86f3-088c250758a8,Alphington,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,30.19,&micro;g/m&sup3;,108.33,312,Poor,#E47400,1031
ee780b50-0240-4c7e-99f8-0df759caf3a3,Churchill,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,1.13,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
ee780b50-0240-4c7e-99f8-0df759caf3a3,Churchill,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,5.16,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
70584bae-a7e7-4ae9-adf5-1e8e92b15386,Traralgon,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,2.77,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
70584bae-a7e7-4ae9-adf5-1e8e92b15386,Traralgon,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,5.52,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
69088979-01eb-4b48-9535-22b6d69421ec,Dandenong,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,35.47,&micro;g/m&sup3;,108.33,13,Fair,#EEC900,1022
69088979-01eb-4b48-9535-22b6d69421ec,Dandenong,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,18.65,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
f5c385fd-c136-4398-99b0-35696b711b7b,Moe,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,2.47,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
f5c385fd-c136-4398-99b0-35696b711b7b,Moe,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,3.7,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
032edf91-3cb9-42be-8ff3-70d3f56dba68,Morwell East,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,,,0.0,0,,,
032edf91-3cb9-42be-8ff3-70d3f56dba68,Morwell East,PM2.5,24HR_AV,2024-05-08T06:00:00Z,2024-05-09T06:00:00Z,3.01,&micro;g/m&sup3;,77.08,222,Good,#42A93C,1029
5fa9b7aa-651d-4c9d-96b1-8f6813b2d933,Geelong South,PM2.5,1HR_AV,2024-05-09T05:00:00Z,2024-05-09T06:00:00Z,3.51,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
