datetime_local,location_name,BPM2.5, pop_density_2021_people_per_km2, area_km2, lga_name_2021
2022-01-01,Melbourne CBD,8.37613043478261,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-02,Melbourne CBD,7.866333333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-03,Melbourne CBD,4.426875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-04,Melbourne CBD,7.742999999999999,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-05,Melbourne CBD,5.373916666666666,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-06,Melbourne CBD,4.567708333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-07,Melbourne CBD,5.7714583333333325,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-08,Melbourne CBD,5.235875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-09,Melbourne CBD,5.915,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-10,Melbourne CBD,12.29525,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-11,Melbourne CBD,8.753541666666667,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-12,Melbourne CBD,4.091833333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-13,Melbourne CBD,4.921565217391304,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-14,Melbourne CBD,6.965916666666666,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-15,Melbourne CBD,5.979708333333334,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-16,Melbourne CBD,6.375083333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-17,Melbourne CBD,6.583166666666667,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-18,Melbourne CBD,5.949916666666667,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-19,Melbourne CBD,5.045875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-20,Melbourne CBD,6.73425,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-21,Melbourne CBD,8.240458333333335,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-22,Melbourne CBD,6.911375,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-23,Melbourne CBD,6.483750000000001,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-24,Melbourne CBD,8.14875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-25,Melbourne CBD,12.577157894736844,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-26,Melbourne CBD,11.629708333333332,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-27,Melbourne CBD,5.499333333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-28,Melbourne CBD,7.249708333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-29,Melbourne CBD,4.863416666666667,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-30,Melbourne CBD,5.505958333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-01-31,Melbourne CBD,9.950458333333334,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-01,Melbourne CBD,8.274956521739131,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-02,Melbourne CBD,5.780782608695652,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-03,Melbourne CBD,5.668545454545455,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-04,Melbourne CBD,4.701391304347825,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-05,Melbourne CBD,4.839173913043479,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-06,Melbourne CBD,5.4125000000000005,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-07,Melbourne CBD,6.475124999999999,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-08,Melbourne CBD,4.7543750000000005,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-09,Melbourne CBD,6.7775,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-10,Melbourne CBD,6.395875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-11,Melbourne CBD,7.741291666666666,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-12,Melbourne CBD,7.617708333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-13,Melbourne CBD,5.957375,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-14,Melbourne CBD,10.304875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-15,Melbourne CBD,8.886041666666667,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-16,Melbourne CBD,10.525,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-17,Melbourne CBD,6.635916666666667,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-18,Melbourne CBD,7.547875,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-19,Melbourne CBD,7.210083333333333,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-20,Melbourne CBD,7.864375,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-21,Melbourne CBD,5.711375,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-22,Melbourne CBD,7.447375,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-23,Melbourne CBD,11.426041666666668,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-24,Melbourne CBD,12.210916666666668,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-25,Melbourne CBD,7.7725,4524.14697265625,37.5452003479004,Melbourne CBD
2022-02-26,Melbourne CBD,5.843478260869565,4524.14697265625,37.5452003479004,Melbourne CBD
