,datetime_local,location_name,BPM2.5
132,2022-01-06-13,Melbourne CBD,4.512
133,2022-01-06-14,Melbourne CBD,4.926
134,2022-01-06-15,Melbourne CBD,10.537
135,2022-01-06-16,Melbourne CBD,-1.06
136,2022-01-06-17,Melbourne CBD,6.18
137,2022-01-06-18,Melbourne CBD,13.356
138,2022-01-06-19,Melbourne CBD,10.367
139,2022-01-06-20,Melbourne CBD,5.753
140,2022-01-06-21,Melbourne CBD,3.485
141,2022-01-06-22,Melbourne CBD,2.091
142,2022-01-06-23,Melbourne CBD,1.767
143,2022-01-07-00,Melbourne CBD,7.905
144,2022-01-07-01,Melbourne CBD,2.555
145,2022-01-07-02,Melbourne CBD,1.982
146,2022-01-07-03,Melbourne CBD,1.847
147,2022-01-07-04,Melbourne CBD,7.342
148,2022-01-07-05,Melbourne CBD,-1.469
149,2022-01-07-06,Melbourne CBD,5.348
150,2022-01-07-07,Melbourne CBD,1.582
151,2022-01-07-08,Melbourne CBD,1.042
152,2022-01-07-09,Melbourne CBD,6.151
153,2022-01-07-10,Melbourne CBD,6.519
154,2022-01-07-11,Melbourne CBD,-1.223
155,2022-01-07-12,Melbourne CBD,0.816
156,2022-01-07-13,Melbourne CBD,3.913
157,2022-01-07-14,Melbourne CBD,3.604
158,2022-01-07-15,Melbourne CBD,9.446
159,2022-01-07-16,Melbourne CBD,5.902
160,2022-01-07-17,Melbourne CBD,14.882
161,2022-01-07-18,Melbourne CBD,9.439
162,2022-01-07-19,Melbourne CBD,5.73
163,2022-01-07-20,Melbourne CBD,15.091
164,2022-01-07-21,Melbourne CBD,4.339
165,2022-01-07-22,Melbourne CBD,12.554
166,2022-01-07-23,Melbourne CBD,13.218
167,2022-01-08-00,Melbourne CBD,6.547
168,2022-01-08-01,Melbourne CBD,8.252
169,2022-01-08-02,Melbourne CBD,4.285
170,2022-01-08-03,Melbourne CBD,5.701
171,2022-01-08-04,Melbourne CBD,4.624
172,2022-01-08-05,Melbourne CBD,3.073
173,2022-01-08-06,Melbourne CBD,-0.1
174,2022-01-08-07,Melbourne CBD,-1.17
175,2022-01-08-08,Melbourne CBD,1.467
176,2022-01-08-09,Melbourne CBD,9.423
177,2022-01-08-10,Melbourne CBD,4.493
178,2022-01-08-11,Melbourne CBD,3.478
179,2022-01-08-12,Melbourne CBD,3.702
180,2022-01-08-13,Melbourne CBD,5.504
181,2022-01-08-14,Melbourne CBD,5.081
182,2022-01-08-15,Melbourne CBD,4.986
183,2022-01-08-16,Melbourne CBD,5.749
184,2022-01-08-17,Melbourne CBD,7.301
185,2022-01-08-18,Melbourne CBD,8.602
186,2022-01-08-19,Melbourne CBD,8.098
187,2022-01-08-20,Melbourne CBD,6.491
188,2022-01-08-21,Melbourne CBD,8.405
189,2022-01-08-22,Melbourne CBD,3.516
190,2022-01-08-23,Melbourne CBD,8.153
191,2022-01-09-00,Melbourne CBD,4.438
192,2022-01-09-01,Melbourne CBD,1.765
193,2022-01-09-02,Melbourne CBD,3.09
194,2022-01-09-03,Melbourne CBD,5.136
195,2022-01-09-04,Melbourne CBD,2.029
196,2022-01-09-05,Melbourne CBD,8.1
197,2022-01-09-06,Melbourne CBD,4.056
198,2022-01-09-07,Melbourne CBD,0.997
199,2022-01-09-08,Melbourne CBD,0.947
200,2022-01-09-09,Melbourne CBD,3.424
201,2022-01-09-10,Melbourne CBD,6.277
202,2022-01-09-11,Melbourne CBD,6.459
203,2022-01-09-12,Melbourne CBD,8.635
204,2022-01-09-13,Melbourne CBD,7.599
205,2022-01-09-14,Melbourne CBD,7.299
206,2022-01-09-15,Melbourne CBD,5.279
207,2022-01-09-16,Melbourne CBD,7.7
208,2022-01-09-17,Melbourne CBD,2.351
209,2022-01-09-18,Melbourne CBD,11.571
210,2022-01-09-19,Melbourne CBD,10.88
211,2022-01-09-20,Melbourne CBD,7.563
212,2022-01-09-21,Melbourne CBD,8.897
213,2022-01-09-22,Melbourne CBD,6.451
214,2022-01-09-23,Melbourne CBD,11.017
215,2022-01-10-00,Melbourne CBD,6.493
216,2022-01-10-01,Melbourne CBD,5.127
217,2022-01-10-02,Melbourne CBD,9.528
218,2022-01-10-03,Melbourne CBD,10.164
219,2022-01-10-04,Melbourne CBD,6.95
220,2022-01-10-05,Melbourne CBD,9.443
221,2022-01-10-06,Melbourne CBD,12.85
222,2022-01-10-07,Melbourne CBD,9.408
223,2022-01-10-08,Melbourne CBD,5.004
224,2022-01-10-09,Melbourne CBD,14.24
225,2022-01-10-10,Melbourne CBD,10.821
226,2022-01-10-11,Melbourne CBD,13.822
227,2022-01-10-12,Melbourne CBD,16.785
228,2022-01-10-13,Melbourne CBD,23.201
229,2022-01-10-14,Melbourne CBD,13.129
230,2022-01-10-15,Melbourne CBD,17.279
231,2022-01-10-16,Melbourne CBD,14.005
232,2022-01-10-17,Melbourne CBD,13.93
233,2022-01-10-18,Melbourne CBD,15.265
234,2022-01-10-19,Melbourne CBD,11.031
235,2022-01-10-20,Melbourne CBD,14.928
236,2022-01-10-21,Melbourne CBD,20.338
237,2022-01-10-22,Melbourne CBD,9.267
238,2022-01-10-23,Melbourne CBD,12.078
239,2022-01-11-00,Melbourne CBD,13.899
240,2022-01-11-01,Melbourne CBD,12.331
241,2022-01-11-02,Melbourne CBD,10.984
242,2022-01-11-03,Melbourne CBD,4.353
243,2022-01-11-04,Melbourne CBD,6.15
244,2022-01-11-05,Melbourne CBD,7.3
245,2022-01-11-06,Melbourne CBD,12.312
246,2022-01-11-07,Melbourne CBD,8.011
247,2022-01-11-08,Melbourne CBD,5.877
248,2022-01-11-09,Melbourne CBD,10.618
249,2022-01-11-10,Melbourne CBD,9.835
250,2022-01-11-11,Melbourne CBD,17.133
251,2022-01-11-12,Melbourne CBD,7.472
252,2022-01-11-13,Melbourne CBD,7.256
253,2022-01-11-14,Melbourne CBD,4.296
254,2022-01-11-15,Melbourne CBD,7.347
255,2022-01-11-16,Melbourne CBD,8.875
256,2022-01-11-17,Melbourne CBD,7.031
257,2022-01-11-18,Melbourne CBD,12.757
258,2022-01-11-19,Melbourne CBD,8.842
259,2022-01-11-20,Melbourne CBD,7.011
260,2022-01-11-21,Melbourne CBD,7.968
261,2022-01-11-22,Melbourne CBD,9.913
262,2022-01-11-23,Melbourne CBD,2.514
263,2022-01-12-00,Melbourne CBD,4.689
264,2022-01-12-01,Melbourne CBD,7.667
265,2022-01-12-02,Melbourne CBD,6.355
266,2022-01-12-03,Melbourne CBD,0.18
267,2022-01-12-04,Melbourne CBD,6.338
268,2022-01-12-05,Melbourne CBD,-0.464
269,2022-01-12-06,Melbourne CBD,-1.006
270,2022-01-12-07,Melbourne CBD,8.168
271,2022-01-12-08,Melbourne CBD,5.408
272,2022-01-12-09,Melbourne CBD,4.121
273,2022-01-12-10,Melbourne CBD,2.405
274,2022-01-12-11,Melbourne CBD,3.932
275,2022-01-12-12,Melbourne CBD,2.404
276,2022-01-12-13,Melbourne CBD,8.896
277,2022-01-12-14,Melbourne CBD,7.26
278,2022-01-12-15,Melbourne CBD,6.028
279,2022-01-12-16,Melbourne CBD,4.121
280,2022-01-12-17,Melbourne CBD,6.241
281,2022-01-12-18,Melbourne CBD,1.158
282,2022-01-12-19,Melbourne CBD,4.127
283,2022-01-12-20,Melbourne CBD,5.996
284,2022-01-12-21,Melbourne CBD,0.977
285,2022-01-12-22,Melbourne CBD,-0.923
286,2022-01-12-23,Melbourne CBD,4.126
287,2022-01-13-00,Melbourne CBD,3.419
288,2022-01-13-01,Melbourne CBD,2.457
289,2022-01-13-02,Melbourne CBD,6.282
290,2022-01-13-03,Melbourne CBD,4.429
291,2022-01-13-04,Melbourne CBD,0.885
292,2022-01-13-05,Melbourne CBD,3.223
293,2022-01-13-06,Melbourne CBD,5.458
294,2022-01-13-07,Melbourne CBD,6.658
295,2022-01-13-08,Melbourne CBD,3.937
296,2022-01-13-09,Melbourne CBD,7.323
297,2022-01-13-10,Melbourne CBD,10.442
298,2022-01-13-11,Melbourne CBD,9.787
299,2022-01-13-12,Melbourne CBD,1.095
300,2022-01-13-13,Melbourne CBD,5.276
301,2022-01-13-14,Melbourne CBD,5.875
302,2022-01-13-15,Melbourne CBD,0.869
