 postcode, legal_name, suburb, address, ogc_fid
3201.0,Kids Paradise Childcare Pty Ltd  ATF The Kids Paradise Child Care Trust,CARRUM DOWNS,2 - 6 FULMAR ST ,615
3201.0,Rowellyn Park Primary School Council,CARRUM DOWNS,Rowellyn Park Primary School Council,616
3204.0,Ormond Primary School Out of School Hours Care,BENTLEIGH,Ormond Primary School Out of School Hours Care,804
3165.0,Beis Menachem Community Centre Inc,BENTLEIGH EAST,13 - 17 CECIL ST ,805
3195.0,Chainbridge Pty Ltd as Trustee for The Chainbridge Unit Trust,MORDIALLOC,5 HALLMARK ROAD ,809
3013.0,Wembley Primary School,YARRAVILLE,32 ST LEONARDS AVE ,810
3013.0,Yarraville West Primary School,YARRAVILLE,14 - 30 POWELL STREET ,811
3042.0,Kazzico Pty Ltd,NIDDRIE,Kazzico  ,823
3206.0,Childrens Garden Kindercare Pty Ltd,ALBERT PARK,Childrens Garden Kindercare  ,829
3068.0,Merri Creek Primary School,FITZROY NORTH,MILLER STREET ,992
3023.0,Deer Park Children's Community Centre Inc,DEER PARK,3 HUME STREET ,1036
3084.0,View Bank Preschool Association Inc,VIEWBANK,CNR LYON RD & DUFF PDE ,1042
3802.0,James Cook Primary School,ENDEAVOUR HILLS,29 - 59 JAMES COOK DRIVE ,1046
3163.0,Murrumbeena Primary School OSHC,MURRUMBEENA,10 HOBART ROAD ,1047
3107.0,Templestowe Valley Primary School Council,TEMPLESTOWE LOWER,15 BIRCHWOOD AVENUE ,1049
3029.0,Point Cook Kindergarten Inc,HOPPERS CROSSING,Point Cook Kindergarten ,1051
3065.0,The Trustee for SAVE THE CHILDREN AUSTRALIA TRUST,FITZROY,SAVE THE CHILDREN AUSTRALIA,1069
3065.0,Save the Children Australia,FITZROY,Save the Children Australia,1070
3915.0,Hastings Preschool Kindergarten Inc,HASTINGS,Hastings Preschool Kindergarten ,1072
3782.0,Emerald Community House Inc,EMERALD,Emerald Community House ,1073
3977.0,TBM TRAINING PTY LTD,CRANBOURNE,TMB Trading  ,1076
3977.0,The Trustee for the Holman Trust,CRANBOURNE NORTH,8 ELIZABETH ST ,1077
3977.0,Merinda Park Community Centre Inc,CRANBOURNE NORTH,Merinda Park Community Centre ,1078
3977.0,Kidz R Kidz Pty Ltd,CRANBOURNE NORTH,30 STIRLING AVENUE ,1079
3765.0,Billanook Primary School,MONTROSE,Billanook Primary School,1082
3807.0,Hillcrest Christian College (Vic) Inc,BEACONSFIELD,Hillcrest Christian College (Vic) ,1085
3807.0,Beaconsfield Kindergarten Inc,BEACONSFIELD,Beaconsfield Kindergarten ,1086
3807.0,CREST EDUCATION LTD,BEACONSFIELD,Crest Education,1087
