sit_id,sit_name,name,timeSeriesName,since,until,averageValue,unit,confidence,totalSample,healthAdvice,healthAdviceColor,healthCode
b2972c05-c6c6-4d50-94ad-7fa53722e9d0,Spotswood,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,1.13,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
b2972c05-c6c6-4d50-94ad-7fa53722e9d0,Spotswood,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,1.57,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
63a73778-4244-481b-82d9-3a7c416832eb,Rosedale,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,2.6,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
63a73778-4244-481b-82d9-3a7c416832eb,Rosedale,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,7.49,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
9a9f2a8f-e108-4ae6-b9d3-ec6fe25863b5,Kingsville,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,1.02,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
9a9f2a8f-e108-4ae6-b9d3-ec6fe25863b5,Kingsville,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,1.91,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
ea40fbea-46ce-4acf-8f3e-eb76c26c712b,Melton,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,3.82,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
ea40fbea-46ce-4acf-8f3e-eb76c26c712b,Melton,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,1.49,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
9348c1f5-60c5-4c35-b4f1-1f0931ab1415,Mooroolbark,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,9.36,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
9348c1f5-60c5-4c35-b4f1-1f0931ab1415,Mooroolbark,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,12.91,&micro;g/m&sup3;,105.56,312,Fair,#EEC900,1030
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,1.02,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,1.96,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,1.02,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,1.96,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
78dbc892-d9e9-490b-94a6-baf1ca72c36c,Brooklyn,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,4.08,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
78dbc892-d9e9-490b-94a6-baf1ca72c36c,Brooklyn,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,4.55,&micro;g/m&sup3;,104.17,312,Good,#42A93C,1029
82e215ca-e0e5-4a00-9357-98d53b04311b,Bendigo,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,1.02,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
82e215ca-e0e5-4a00-9357-98d53b04311b,Bendigo,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,0.47,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
c21b7785-acfa-45c0-83c6-7700760bf8f1,Porepunkah,PM2.5,1HR_AV,2024-05-21T03:00:00Z,2024-05-21T04:00:00Z,1.48,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
c21b7785-acfa-45c0-83c6-7700760bf8f1,Porepunkah,PM2.5,24HR_AV,2024-05-20T04:00:00Z,2024-05-21T04:00:00Z,5.65,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
