geography_name, rai_national_total_2014_q2, rai_national_total_2014_q3, rai_national_total_2014_q4, rai_national_total_2021_q1, rai_national_total_2014_q1, state, rai_national_total_2020_q1, rai_national_total_2020_q2, rai_national_total_2020_q3, rai_national_total_2011_q2, rai_national_total_2020_q4, rai_national_total_2011_q1, city, unique_id, rai_national_total_2013_q3, rai_national_total_2013_q4, rai_national_total_2013_q1, rai_national_total_2012_q4, rai_national_total_2013_q2, rai_national_total_2015_q3, rai_national_total_2015_q4, rai_national_total_2015_q1, rai_national_total_2015_q2, rai_national_total_2016_q1, rai_national_total_2016_q2, rai_national_total_2016_q3, rai_national_total_2016_q4, rai_national_total_2012_q1, rai_national_total_2012_q3, rai_national_total_2012_q2, rai_national_total_2017_q3, rai_national_total_2017_q4, rai_national_total_2019_q1, rai_national_total_2017_q1, rai_national_total_2019_q2, rai_national_total_2017_q2, rai_national_total_2011_q4, rai_national_total_2018_q4, rai_national_total_2018_q3, rai_national_total_2018_q2, rai_national_total_2018_q1, rai_national_total_2021_q2, rai_national_total_2019_q3, rai_national_total_2019_q4
"3073",135.2163,131.1189,139.8601,136.6397,135.2163,"VIC",133.1361,136.6397,133.1361,128.2051,136.6397,130.273,"Greater Melbourne",1375,139.5782,139.5782,135.2163,135.2163,135.2163,139.8601,137.7727,139.8601,135.7466,134.7558,135.7466,135.7466,131.8681,128.2051,130.273,129.2308,128.2051,132.5364,129.0486,131.8681,129.0486,128.2051,129.2308,129.0486,132.5364,132.5364,134.3519,136.6397,129.0486,129.0486
"3074",138.4615,135.2163,144.2308,144.2308,139.5782,"VIC",144.2308,144.2308,147.5087,130.273,144.2308,134.6154,"Greater Melbourne",1376,139.5782,143.0388,144.2308,144.2308,144.2308,142.0118,140.9278,144.2308,144.2308,139.8601,137.7727,139.8601,135.7466,134.6154,130.273,134.6154,135.4081,140.1099,136.2179,135.7466,132.5364,131.8681,134.6154,136.2179,136.2179,140.1099,136.2179,146.2622,136.2179,136.2179
"3075",135.2163,135.2163,144.2308,140.3326,135.2163,"VIC",140.3326,142.255,143.2361,130.273,144.2308,134.6154,"Greater Melbourne",1377,139.5782,139.5782,141.6921,144.2308,135.2163,142.0118,139.8601,144.2308,144.2308,136.8312,139.8601,135.7466,135.7466,128.2051,130.273,130.273,131.8681,140.1099,136.2179,132.5308,132.5364,135.7466,134.6154,132.5364,132.5364,136.2179,140.1099,144.2308,132.5364,134.8489
"3076",131.1189,131.1189,139.8601,138.4615,132.1198,"VIC",140.3326,142.255,136.6397,119.6581,140.3326,122.3776,"Greater Melbourne",1378,135.2163,135.2163,135.2163,135.2163,137.3626,135.7466,135.7466,144.2308,144.2308,133.7793,138.8086,139.8601,133.7793,122.3776,122.3776,124.2604,131.8681,140.1099,132.5364,131.8681,136.2179,131.8681,122.3776,132.5364,132.5364,136.2179,135.2785,140.3326,132.5364,130.7692
"3078",120.1923,125.4181,135.7466,129.8077,121.0328,"VIC",118.007,134.8651,123.6264,115.3846,116.6811,126.2019,"Greater Melbourne",1379,129.1619,123.6264,120.1923,131.1189,129.1619,137.7727,128.2051,131.8681,139.8601,119.8801,118.3432,135.7466,118.3432,122.3776,126.2019,130.273,118.3432,110.1988,114.0429,116.1103,98.07692,121.4575,130.273,118.165,123.3672,114.0429,121.0826,131.4508,108.9744,107.7768
"3079",110.9467,104.2632,115.3846,111.6625,105.5347,"VIC",104.8951,111.6625,108.1731,102.2395,115.3846,112.1795,"Greater Melbourne",1380,110.9467,108.1731,109.5424,105.5347,118.5458,104.8951,112.5704,109.8901,109.8901,115.3846,113.261,102.5641,104.3025,104.8951,109.1476,105.5807,107.3345,104.8951,100.0785,99.25558,99.0676,104.8951,100.9615,108.9744,111.451,100.0785,106.6054,115.3846,114.0429,106.6054
"3087",127.2624,123.6264,131.8681,120.7513,123.6264,"VIC",117.3403,126.6417,126.6417,115.3846,131.4508,122.3776,"Greater Melbourne",1387,123.6264,130.133,127.2624,128.2051,131.1189,128.2051,123.0769,126.4489,133.7793,124.7401,124.7401,124.7401,124.7401,122.3776,115.3846,115.3846,115.3846,124.148,122.5962,116.8452,121.0826,111.8881,120.5511,119.606,119.606,125.7396,119.606,120.7513,122.5962,118.165
"3081",132.7277,131.1189,131.8681,125.1158,123.6264,"VIC",126.6417,126.6417,122.8949,122.3776,125.1158,125.2236,"Greater Melbourne",1381,131.1189,130.133,125.4181,131.1189,131.1189,135.7466,139.8601,137.7727,131.8681,131.8681,135.7466,131.8681,128.2051,124.2604,122.3776,126.2019,124.7401,125.7396,122.5962,121.4575,122.5962,124.7401,120.5511,122.5962,125.7396,128.2051,125.7396,129.8077,125.7396,119.606
"3082",131.1189,131.1189,137.7727,140.3326,127.2624,"VIC",138.4615,140.3326,138.4615,124.2604,139.3908,124.2604,"Greater Melbourne",1382,131.1189,127.2624,133.1361,131.1189,131.1189,135.7466,135.7466,135.7466,137.7727,131.8681,135.7466,131.8681,131.8681,122.3776,126.2019,126.2019,128.2051,132.5364,132.5364,130.0108,129.0486,128.2051,122.3776,132.5364,132.5364,132.5364,132.5364,136.6397,132.5364,132.5364
"3083",131.1189,127.2624,131.8681,140.3326,131.1189,"VIC",136.6397,136.6397,140.3326,122.3776,136.6397,126.2019,"Greater Melbourne",1383,131.1189,127.2624,135.2163,135.2163,133.1361,131.8681,135.7466,142.0118,130.0108,135.7466,130.0108,131.8681,131.8681,126.2019,123.3118,126.2019,128.2051,134.3519,129.0486,131.8681,129.0486,124.7401,122.3776,129.0486,129.0486,132.5364,130.7692,136.6397,129.0486,129.0486
