,name,local_date_time_full,lat,lon,apparent_t,delta_t,gust_kmh,gust_kt,air_temp,dewpt,press,press_qnh,press_msl,rain_trace,rel_hum,vis_km,wind_dir,wind_spd_kmh,wind_spd_kt
27,Melbourne CBD,2024-05-12-15,-37.8,145.0,16.75,3.0999999999999996,13.0,7.0,17.65,12.0,1021.8499999999999,1021.8499999999999,1021.8499999999999,"['0.0', '0.0']",69.5,"['10', '10']","['SSW', 'SW']",8.0,4.5
28,Melbourne CBD,2024-05-12-14,-37.8,145.0,18.05,3.3,9.0,5.0,18.35,12.35,1021.95,1021.95,1021.95,"['0.0', '0.0']",68.0,"['10', '10']","['SSW', 'SW']",5.5,3.0
29,Melbourne CBD,2024-05-12-13,-37.8,145.0,16.65,3.0,10.0,5.5,17.450000000000003,11.95,1022.5,1022.5,1022.5,"['0.0', '0.0']",70.0,"['10', '10']","['S', 'SSW']",7.5,4.0
30,Melbourne CBD,2024-05-12-12,-37.8,145.0,17.6,3.35,6.5,3.5,17.65,11.55,1023.35,1023.35,1023.35,"['0.0', '0.0']",67.5,"['10', '10']","['N', 'W']",3.0,1.5
31,Melbourne CBD,2024-05-12-11,-37.8,145.0,15.75,2.75,9.0,5.0,16.05,10.9,1024.3000000000002,1024.3000000000002,1024.3000000000002,"['0.0', '0.0']",71.5,"['10', '10']","['NNE', 'SSE']",3.0,1.5
32,Melbourne CBD,2024-05-12-10,-37.8,145.0,14.350000000000001,1.7999999999999998,3.5,2.0,14.4,11.0,1024.6999999999998,1024.6999999999998,1024.6999999999998,"['0.0', '0.0']",80.0,"['10', '10']","['CALM', 'NE']",2.0,1.0
33,Melbourne CBD,2024-05-12-09,-37.8,145.0,12.0,0.55,5.5,3.0,11.9,10.85,1024.9,1024.9,1024.9,"['0.0', '0.0']",93.5,"['10', '10']","['CALM', 'ENE']",1.0,0.5
34,Melbourne CBD,2024-05-12-08,-37.8,145.0,7.65,0.0,10.0,5.5,9.25,9.25,1024.95,1024.95,1024.95,"['0.0', '0.0']",100.0,"['10', '10']","['NE', 'NE']",7.5,4.0
35,Melbourne CBD,2024-05-12-07,-37.8,145.0,7.1,0.0,11.0,6.0,8.7,8.7,1024.85,1024.85,1024.85,"['0.0', '0.0']",100.0,"['10', '2']","['NE', 'NE']",7.0,4.0
36,Melbourne CBD,2024-05-12-07,-37.8,145.0,7.35,0.0,10.0,5.5,8.899999999999999,8.899999999999999,1024.6999999999998,1024.6999999999998,1024.6999999999998,"['0.0', '0.0']",100.0,"['2', '0.3']","['NE', 'NE']",7.0,4.0
37,Melbourne CBD,2024-05-12-06,-37.8,145.0,8.95,0.0,3.5,2.0,9.100000000000001,9.100000000000001,1024.4,1024.4,1024.4,"['0.0', '0.0']",100.0,"['0.8', '7']","['CALM', 'CALM']",0.0,0.0
38,Melbourne CBD,2024-05-12-06,-37.8,145.0,8.45,0.0,3.5,2.0,8.850000000000001,8.850000000000001,1024.4,1024.4,1024.4,"['0.0', '0.0']",100.0,"['7', '10']","['CALM', 'NE']",1.0,0.5
39,Melbourne CBD,2024-05-12-05,-37.8,145.0,8.600000000000001,0.0,3.0,1.5,8.85,8.85,1024.35,1024.35,1024.35,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
40,Melbourne CBD,2024-05-12-04,-37.8,145.0,8.95,0.0,0.0,0.0,9.149999999999999,9.149999999999999,1024.2,1024.2,1024.2,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
41,Melbourne CBD,2024-05-12-03,-37.8,145.0,9.4,0.0,3.0,1.5,9.5,9.5,1024.4,1024.4,1024.4,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
42,Melbourne CBD,2024-05-12-02,-37.8,145.0,9.8,0.0,0.0,0.0,9.8,9.8,1024.65,1024.65,1024.65,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
43,Melbourne CBD,2024-05-12-01,-37.8,145.0,10.3,0.0,0.0,0.0,10.2,10.2,1024.75,1024.75,1024.75,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
44,Melbourne CBD,2024-05-12-00,-37.8,145.0,10.75,0.0,0.0,0.0,10.55,10.55,1025.0,1025.0,1025.0,"['0.0', '0.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
45,Melbourne CBD,2024-05-11-23,-37.8,145.0,11.3,0.15,0.0,0.0,11.05,10.8,1025.25,1025.25,1025.25,"['0.0', '0.0']",98.5,"['10', '10']","['CALM', 'CALM']",0.0,0.0
46,Melbourne CBD,2024-05-11-22,-37.8,145.0,12.5,0.95,0.0,0.0,12.3,10.5,1025.6,1025.6,1025.6,"['0.0', '0.0']",89.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
47,Melbourne CBD,2024-05-11-21,-37.8,145.0,13.350000000000001,1.7,6.5,3.5,13.45,10.15,1025.65,1025.65,1025.65,"['0.0', '0.0']",80.5,"['10', '10']","['CALM', 'ESE']",1.0,0.5
48,Melbourne CBD,2024-05-11-20,-37.8,145.0,13.3,2.3,11.0,6.0,14.399999999999999,10.0,1025.85,1025.85,1025.85,"['0.0', '0.0']",75.0,"['10', '10']","['ESE', 'SE']",6.0,3.0
49,Melbourne CBD,2024-05-11-19,-37.8,145.0,14.0,2.6,13.0,7.0,15.25,10.25,1026.1,1026.1,1026.1,"['0.0', '0.0']",72.0,"['10', '10']","['SE', 'SE']",7.0,4.0
50,Melbourne CBD,2024-05-11-18,-37.8,145.0,14.899999999999999,2.8,12.0,6.5,15.850000000000001,10.5,1025.95,1025.95,1025.95,"['0.0', '0.0']",70.5,"['10', '10']","['SE', 'SE']",6.0,3.0
51,Melbourne CBD,2024-05-11-17,-37.8,145.0,15.5,3.3,14.0,7.5,16.7,10.45,1025.8000000000002,1025.8000000000002,1025.8000000000002,"['0.0', '0.0']",66.5,"['10', '10']","['SE', 'SE']",7.5,4.0
52,Melbourne CBD,2024-05-11-16,-37.8,145.0,15.75,3.8,18.5,10.0,17.5,10.350000000000001,1025.65,1025.65,1025.65,"['0.0', '0.0']",63.0,"['10', '10']","['ESE', 'SE']",10.0,5.5
53,Melbourne CBD,2024-05-11-15,-37.8,145.0,15.65,3.95,23.0,12.5,17.950000000000003,10.45,1025.85,1025.85,1025.85,"['0.0', '0.0']",61.5,"['10', '10']","['SE', 'SE']",13.0,7.0
54,Melbourne CBD,2024-05-11-14,-37.8,145.0,16.55,4.15,22.0,12.0,18.55,10.850000000000001,1025.8000000000002,1025.8000000000002,1025.8000000000002,"['0.0', '0.0']",61.0,"['10', '10']","['SE', 'ESE']",12.0,6.5
55,Melbourne CBD,2024-05-11-13,-37.8,145.0,17.4,4.0,16.5,9.0,18.85,11.55,1026.3000000000002,1026.3000000000002,1026.3000000000002,"['0.0', '0.0']",62.5,"['10', '10']","['ESE', 'E']",10.0,5.5
56,Melbourne CBD,2024-05-11-12,-37.8,145.0,18.049999999999997,3.7,12.0,6.5,18.75,12.0,1026.9499999999998,1026.9499999999998,1026.9499999999998,"['0.0', '0.0']",65.0,"['10', '10']","['SE', 'E']",7.0,4.0
57,Melbourne CBD,2024-05-11-11,-37.8,145.0,17.0,3.1500000000000004,16.5,9.0,18.0,12.3,1027.7,1027.7,1027.7,"['0.0', '0.0']",69.5,"['10', '10']","['E', 'E']",9.0,5.0
58,Melbourne CBD,2024-05-11-10,-37.8,145.0,15.55,2.2,14.0,7.5,16.5,12.5,1028.05,1028.05,1028.05,"['0.0', '0.0']",77.5,"['10', '10']","['E', 'E']",9.0,5.0
59,Melbourne CBD,2024-05-11-09,-37.8,145.0,16.1,0.0,7.5,4.0,14.899999999999999,14.899999999999999,1028.25,1028.25,1028.25,"['0.0', '1.8']",100.0,"['10', '10']","['ESE', 'CALM']",2.0,1.0
60,Melbourne CBD,2024-05-11-08,-37.8,145.0,14.45,0.0,0.0,0.0,13.399999999999999,13.399999999999999,1028.25,1028.25,1028.25,"['1.8', '1.8']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
61,Melbourne CBD,2024-05-11-07,-37.8,145.0,13.95,0.0,0.0,0.0,13.0,13.0,1027.9,1027.9,1027.9,"['1.8', '1.8']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
62,Melbourne CBD,2024-05-11-07,-37.8,145.0,13.850000000000001,0.0,0.0,0.0,12.95,12.95,1027.8,1027.8,1027.8,"['1.8', '1.8']",100.0,"['10', '9']","['CALM', 'CALM']",0.0,0.0
63,Melbourne CBD,2024-05-11-06,-37.8,145.0,14.3,0.0,0.0,0.0,13.25,13.25,1027.6,1027.6,1027.6,"['1.8', '1.6']",100.0,"['3', '4']","['CALM', 'CALM']",0.0,0.0
64,Melbourne CBD,2024-05-11-05,-37.8,145.0,14.7,0.0,0.0,0.0,13.6,13.6,1027.75,1027.75,1027.75,"['1.6', '1.6']",100.0,"['5', '8']","['CALM', 'CALM']",0.0,0.0
65,Melbourne CBD,2024-05-11-04,-37.8,145.0,14.95,0.0,0.0,0.0,13.75,13.75,1027.7,1027.7,1027.7,"['1.6', '1.4']",100.0,"['7', '10']","['CALM', 'CALM']",0.0,0.0
66,Melbourne CBD,2024-05-11-04,-37.8,145.0,14.85,0.0,0.0,0.0,13.7,13.7,1027.65,1027.65,1027.65,"['1.4', '1.0']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
67,Melbourne CBD,2024-05-11-04,-37.8,145.0,14.7,0.0,0.0,0.0,13.6,13.6,1027.6,1027.6,1027.6,"['1.0', '1.0']",100.0,"['10', '9']","['CALM', 'CALM']",0.0,0.0
68,Melbourne CBD,2024-05-11-03,-37.8,145.0,14.8,0.0,0.0,0.0,13.649999999999999,13.649999999999999,1027.55,1027.55,1027.55,"['0.8', '0.8']",100.0,"['7', '9']","['CALM', 'CALM']",0.0,0.0
69,Melbourne CBD,2024-05-11-03,-37.8,145.0,14.75,0.0,0.0,0.0,13.6,13.6,1027.6,1027.6,1027.6,"['0.8', '0.6']",100.0,"['9', '8']","['CALM', 'CALM']",0.0,0.0
70,Melbourne CBD,2024-05-11-02,-37.8,145.0,14.55,0.0,0.0,0.0,13.45,13.45,1027.65,1027.65,1027.65,"['0.6', '0.6']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
71,Melbourne CBD,2024-05-11-01,-37.8,145.0,14.55,0.0,0.0,0.0,13.45,13.45,1027.5,1027.5,1027.5,"['0.6', '0.6']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
72,Melbourne CBD,2024-05-11-00,-37.8,145.0,14.649999999999999,0.0,0.0,0.0,13.55,13.55,1027.55,1027.55,1027.55,"['0.6', '0.6']",100.0,"['10', '7']","['CALM', 'CALM']",0.0,0.0
73,Melbourne CBD,2024-05-11-00,-37.8,145.0,14.8,0.0,0.0,0.0,13.649999999999999,13.649999999999999,1027.8,1027.8,1027.8,"['0.6', '0.6']",100.0,"['7', '10']","['CALM', 'CALM']",0.0,0.0
74,Melbourne CBD,2024-05-10-23,-37.8,145.0,15.15,0.0,0.0,0.0,13.9,13.9,1028.3000000000002,1028.3000000000002,1028.3000000000002,"['0.6', '0.6']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
75,Melbourne CBD,2024-05-10-22,-37.8,145.0,15.6,0.0,0.0,0.0,14.25,14.25,1028.55,1028.55,1028.55,"['0.6', '0.6']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
76,Melbourne CBD,2024-05-10-21,-37.8,145.0,15.8,0.0,2.0,1.0,14.4,14.4,1028.5,1028.5,1028.5,"['0.6', '0.6']",100.0,"['10', '10']","['CALM', 'CALM']",0.0,0.0
77,Melbourne CBD,2024-05-10-20,-37.8,145.0,15.149999999999999,0.0,11.0,6.0,14.6,14.6,1028.4,1028.4,1028.4,"['0.6', '0.6']",100.0,"['10', '10']","['SE', 'S']",5.0,2.5
78,Melbourne CBD,2024-05-10-19,-37.8,145.0,16.2,0.0,6.5,3.5,14.8,14.8,1028.4,1028.4,1028.4,"['0.6', '0.6']",100.0,"['10', '10']","['S', 'CALM']",1.0,0.5
79,Melbourne CBD,2024-05-10-19,-37.8,145.0,16.1,0.0,5.0,2.5,14.75,14.75,1028.4,1028.4,1028.4,"['0.6', '0.6']",100.0,"['10', '5']","['CALM', 'S']",1.0,0.5
80,Melbourne CBD,2024-05-10-18,-37.8,145.0,16.9,0.0,0.0,0.0,15.2,15.2,1028.35,1028.35,1028.35,"['0.6', '0.6']",100.0,"['6', '6']","['CALM', 'CALM']",0.0,0.0
